Severity,Title,File,Line,Code,Details,CWE ID
HIGH,"[B201:flask_debug_true] A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",13-fileupload_codeinjection.py,41,"40	if __name__ == '__main__':
41	    app.run(host='0.0.0.0', port=1337, debug=True)","[B201:flask_debug_true] A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",N/A
MEDIUM,[B104:hardcoded_bind_all_interfaces] Possible binding to all interfaces.,13-fileupload_codeinjection.py,41,"40	if __name__ == '__main__':
41	    app.run(host='0.0.0.0', port=1337, debug=True)",[B104:hardcoded_bind_all_interfaces] Possible binding to all interfaces.,N/A
LOW,[B403:blacklist] Consider possible security implications associated with pickle module.,17-deserialization-classic.py,5,"4	import base64 as b64
5	import pickle
6",[B403:blacklist] Consider possible security implications associated with pickle module.,N/A
MEDIUM,"[B301:blacklist] Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",17-deserialization-classic.py,41,"40	            data = b64.b64decode(bytes(dataCookie, 'UTF-8'))
41	            data = pickle.loads(data)
42	            return User_RedirectTo(data)","[B301:blacklist] Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",N/A
HIGH,"[B201:flask_debug_true] A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",17-deserialization-classic.py,56,"55	if __name__ == '__main__':
56	    app.run(host='0.0.0.0', port=1337, debug=True)","[B201:flask_debug_true] A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",N/A
MEDIUM,[B104:hardcoded_bind_all_interfaces] Possible binding to all interfaces.,17-deserialization-classic.py,56,"55	if __name__ == '__main__':
56	    app.run(host='0.0.0.0', port=1337, debug=True)",[B104:hardcoded_bind_all_interfaces] Possible binding to all interfaces.,N/A
MEDIUM,[B113:request_without_timeout] Call to requests without timeout,2-ssrf-regex-bypass.py,26,"25
26	    res = requests.get(url)
27",[B113:request_without_timeout] Call to requests without timeout,N/A
HIGH,"[B201:flask_debug_true] A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",2-ssrf-regex-bypass.py,43,"42	if __name__ == '__main__':
43	    app.run(host='0.0.0.0', port=1337, debug=True)","[B201:flask_debug_true] A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",N/A
MEDIUM,[B104:hardcoded_bind_all_interfaces] Possible binding to all interfaces.,2-ssrf-regex-bypass.py,43,"42	if __name__ == '__main__':
43	    app.run(host='0.0.0.0', port=1337, debug=True)",[B104:hardcoded_bind_all_interfaces] Possible binding to all interfaces.,N/A
HIGH,"[B201:flask_debug_true] A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",27-cache-poisoning-classic.py,33,"32	if __name__ == '__main__':
33	    app.run(host='0.0.0.0', port=1337, debug=True)","[B201:flask_debug_true] A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",N/A
