Severity,Title,File,Line,Code,Details,CWE ID,Source
HIGH,Information Exposure Through An Error Message,cowsay.java,23,} catch (Exception e) {,"Information Exposure Through An Error Message The sensitive information may be valuable information on its own (such as a password), or it may be useful for launching other, more deadly attacks. For more information checkout the CWE-209 (https://cwe.mitre.org/data/definitions/209.html) advisory.",,Horusec
HIGH,Information Exposure Through An Error Message,user.java,57,} catch (Exception e) {,"Information Exposure Through An Error Message The sensitive information may be valuable information on its own (such as a password), or it may be useful for launching other, more deadly attacks. For more information checkout the CWE-209 (https://cwe.mitre.org/data/definitions/209.html) advisory.",,Horusec
HIGH,Crypto import,user.java,10,import javax.crypto.SecretKey;,Crypto import Crypto import,,Horusec
HIGH,Information Exposure Through An Error Message,comment.java,31,} catch (Exception e) {,"Information Exposure Through An Error Message The sensitive information may be valuable information on its own (such as a password), or it may be useful for launching other, more deadly attacks. For more information checkout the CWE-209 (https://cwe.mitre.org/data/definitions/209.html) advisory.",,Horusec
POTENTIAL ISSUE,Public Class Not Declared as Final,comment.java,10,public class Comment {,The class is not declared as final as per OWASP recommendations. It is considered best practice to make classes final where possible and practical (i.e. It has no classes which inherit from it). Non-Final classes can allow an attacker to extend a class in a malicious manner. Manually inspect the code to determine whether or not it is practical to make this class final.,,VCG
STANDARD,Class Contains Public Variable: body,comment.java,11,"public String id, username, body;","The class variable may be accessed and modified by other classes without the use of getter/setter methods. It is considered unsafe to have public fields or methods in a class unless required as any method, field, or class that is not private is a potential avenue of attack. It is safer to provide accessor methods to variables in order to limit their accessibility.",,VCG
STANDARD,Class Contains Public Variable: created_on,comment.java,12,public Timestamp created_on;,"The class variable may be accessed and modified by other classes without the use of getter/setter methods. It is considered unsafe to have public fields or methods in a class unless required as any method, field, or class that is not private is a potential avenue of attack. It is safer to provide accessor methods to variables in order to limit their accessibility.",,VCG
POTENTIAL ISSUE,Public Class Not Declared as Final,commentscontroller.java,12,public class CommentsController {,The class is not declared as final as per OWASP recommendations. It is considered best practice to make classes final where possible and practical (i.e. It has no classes which inherit from it). Non-Final classes can allow an attacker to extend a class in a malicious manner. Manually inspect the code to determine whether or not it is practical to make this class final.,,VCG
STANDARD,Class Contains Public Variable: username,commentscontroller.java,37,public String username;,"The class variable may be accessed and modified by other classes without the use of getter/setter methods. It is considered unsafe to have public fields or methods in a class unless required as any method, field, or class that is not private is a potential avenue of attack. It is safer to provide accessor methods to variables in order to limit their accessibility.",,VCG
STANDARD,Class Contains Public Variable: body,commentscontroller.java,38,public String body;,"The class variable may be accessed and modified by other classes without the use of getter/setter methods. It is considered unsafe to have public fields or methods in a class unless required as any method, field, or class that is not private is a potential avenue of attack. It is safer to provide accessor methods to variables in order to limit their accessibility.",,VCG
