Severity,Title,File,Line,Code,Details,CWE ID
CRITICAL,Hard-coded password,unsafequeryservlet.java,17,"private static final String DB_PASSWORD = ""password"";","Hard-coded password The software contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data. For more information checkout the CWE-798 (https://cwe.mitre.org/data/definitions/798.html) advisory.",N/A
HIGH,Information Exposure Through An Error Message,cowsay.java,23,} catch (Exception e) {,"Information Exposure Through An Error Message The sensitive information may be valuable information on its own (such as a password), or it may be useful for launching other, more deadly attacks. For more information checkout the CWE-209 (https://cwe.mitre.org/data/definitions/209.html) advisory.",N/A
HIGH,Information Exposure Through An Error Message,user.java,57,} catch (Exception e) {,"Information Exposure Through An Error Message The sensitive information may be valuable information on its own (such as a password), or it may be useful for launching other, more deadly attacks. For more information checkout the CWE-209 (https://cwe.mitre.org/data/definitions/209.html) advisory.",N/A
HIGH,Crypto import,user.java,10,import javax.crypto.SecretKey;,Crypto import Crypto import,N/A
HIGH,SQL Injection,user.java,47,"String query = ""select * from users where username = '"" + un + ""' limit 1"";","SQL Injection The input values included in SQL queries need to be passed in safely. Bind variables in prepared statements can be used to easily mitigate the risk of SQL injection. Alternatively to prepare statements, each parameter can be escaped manually. For more information checkout the CWE-89 (https://cwe.mitre.org/data/definitions/89.html) advisory.",CWE-89
HIGH,Unsafe hash equals,logincontroller.java,21,if (Postgres.md5(input.password).equals(user.hashedPassword)) {,"Unsafe hash equals An attacker might be able to detect the value of the secret hash due to the exposure of comparison timing. When the functions Arrays.equals() or String.equals() are called, they will exit earlier if fewer bytes are matched. For more information checkout the CWE-704 (https://cwe.mitre.org/data/definitions/704.html) advisory.",N/A
HIGH,Information Exposure Through An Error Message,unsafequeryservlet.java,48,} catch (Exception e) {,"Information Exposure Through An Error Message The sensitive information may be valuable information on its own (such as a password), or it may be useful for launching other, more deadly attacks. For more information checkout the CWE-209 (https://cwe.mitre.org/data/definitions/209.html) advisory.",N/A
HIGH,SQL Injection,unsafequeryservlet.java,35,"t FROM Users WHERE (username = '"" + username + ""' AND NOT role = 'admin')"";","SQL Injection The input values included in SQL queries need to be passed in safely. Bind variables in prepared statements can be used to easily mitigate the risk of SQL injection. Alternatively to prepare statements, each parameter can be escaped manually. For more information checkout the CWE-89 (https://cwe.mitre.org/data/definitions/89.html) advisory.",CWE-89
HIGH,Information Exposure Through An Error Message,postgres.java,24,} catch (Exception e) {,"Information Exposure Through An Error Message The sensitive information may be valuable information on its own (such as a password), or it may be useful for launching other, more deadly attacks. For more information checkout the CWE-209 (https://cwe.mitre.org/data/definitions/209.html) advisory.",N/A
HIGH,Weak Cryptographic Hash Function used,postgres.java,67,"MessageDigest md = MessageDigest.getInstance(""MD5"");","Weak Cryptographic Hash Function used Using a weak CHF pose a threat to your application security since it can be vulnerable to a number of attacks that could lead to data leaking, improper access of features and resources of your infrastructure and even rogue sessions. For more information checkout the CWE-327 (https://cwe.mitre.org/data/definitions/327.html) advisory.",N/A
HIGH,Information Exposure Through An Error Message,comment.java,31,} catch (Exception e) {,"Information Exposure Through An Error Message The sensitive information may be valuable information on its own (such as a password), or it may be useful for launching other, more deadly attacks. For more information checkout the CWE-209 (https://cwe.mitre.org/data/definitions/209.html) advisory.",N/A
